plasma-workspace 5.20.5-2
polkit 0.118-1
polkit-gnome 0.105-5
polkit-kde-agent 5.20.5-1
polkit-qt5 0.113.0-2
poppler 21.01.0-1
poppler-data 0.4.10-1
poppler-glib 21.01.0-1
poppler-qt5 21.01.0-1
popt 1.18-1
portaudio 1:19.6.0-7
portsmf 234-2
powerline 2.8.1-2
powerline-common 2.8.1-2
powertop 2.13-1
ppp 2.4.7-7
pptpclient 1.10.0-2
prison 5.78.0-1
procps-ng 3.3.16-2
psmisc 23.3-4
pulseaudio 14.2-1
purpose 5.78.0-1
python 3.9.1-1
python-appdirs 1.4.4-3
python-asn1crypto 1.4.0-3
python-attrs 20.3.0-3
